Name,Price (in Roubles)
KAC Vertical pistol grip,"3,498"
SilencerCo Salvo 12 sound suppressor,"38,889"
Remington Model 700 Sniper rifle,"29,081"
7.62x39 mm PS,71
Pliers,"7,784"
Cyclon accumulator battery,"54,586"
610mm barrel for MP-133 12ga shotgun with rib,"6,812"
610mm barrel for MP-133 12ga shotgun,"6,812"
CMS kit (5/5),"30,289"
M14ALCS(MOD. 0) pistol grip for M14,"3,407"
AI-2 medikit,"3,323"
Aimtech glock base,"8,954"
Maska 1Sch face shield (Killa) (50/50),"57,361"
SVD Low sidemount,"10,036"
Alyonka chocolate bar,"32,484"
"Stngr Vypr 10"" M-LOK foregrip for AR15","16,032"
B-12 Mount,"2,337"
20-round SVD 7.62x54 magazine,"12,476"
Magpul M-LOK AFG (Stealth Gray) Tactical grip,"8,885"
Cobra EKP-8-02 reflex sight,"9,555"
Magpul MOE M870 forestock,"15,773"
FN RMR Mount for 5-7 Mk.2,"2,165"
Sig Sauer P226 Standard Rearsight,"2,437"
Zenit RK-1 Foregrip,"18,534"
KMZ 1P59 Dovetail mount,"2,190"
Electric drill,"15,611"
Magpul AFG grip black,"6,288"
112mm barrel for P226 9x19,"1,698"
20-round 6L25 9x39 VSS magazine,"6,344"
AS VAL Pistol grip-buffer tube,"8,992"
Oakley Mechanism heavy duty backpack (black),"34,184"
Ophthalmoscope,"82,059"
Aimpoint Micro T-1 reflex sight,"16,607"
RGD-5 hand grenade,"11,940"
Mystery Ranch Blackjack 50 backpack (multicam),"94,777"
5-round .308 M700 magazine,"4,342"
Pyramex Proximity safety glasses,"3,905"
Cut off 325mm barrel for M870 12ga,"5,669"
Cat figurine,"34,800"
Diary,"39,100"
Stark AR Rifle Grip (black) for AR-15-compatible weapons,"5,279"
Freeman crowbar,"9,767"
Fab Defense UAS for AK,"17,587"
Highcom Striker ACHHC IIIA olive helmet,"57,399"
"10.5"" barrel for P90 5.7x28","19,935"
Golden neck chain,"28,362"
B&T MP9 bottom rail,"1,467"
SIG retractable stock pipe adapter,"4,454"
Troy M7A1 PDW FDE stock,"5,872"
MOE Carbine stock OD,"6,852"
UTG SKS SOCOM Rail mount,"17,629"
Vulkan-5 face shield (85/85),"102,862"
9x19 mm PSO gzh,48
Hexagon AK-74 5.45x39 sound suppressor,"26,127"
KAC URX 3 inch guide,"1,913"
LA-5 tactical device,"17,369"
Izhmash AK-74M dust cover (6P34 0-1),"12,743"
Belt-A + Belt-B gear rig,"36,265"
660mm .308 barrel for DVL-10 M2,"28,430"
Glock Rear Sight,"5,445"
Fake white beard,"76,185"
Magpul PMAG .308 AC 5-round M700 magazine,"3,922"
SI M Frame safety glasses,"6,375"
SSSh-95 Sfera-S (Sphere-S),"49,050"
Antique axe,"51,012"
Fuel conditioner,"92,218"
"Izhmash 6L10 7.62x39 magazine for AK and compatibles, 30-round capacity","2,257"
Pachmayr tactical rubber grip,"2,931"
Nordic Corvette 7.62x51 muzzle brake for AR-10,"10,903"
PSO scope eyecup,628
Arbalet Patriot K+W mount,"4,612"
Key to pharmacy,"61,824"
Morphine injector,"12,366"
LSHZ-2DTM Aventail,"23,064"
Maska 1Sch helmet,"98,156"
M1A Archangel stock,"25,520"
West wing room 301 key,"67,741"
Military thermal vision module Iridium,"58,904"
Cabinet key,"8,724"
MSA ACH TC-2002 MICH Series Helmet,"55,861"
AKMS 7.62x39 assault rifle,"18,655"
9x18 mm PM PMM,163
7.62x25mm TT P gl,55
Krebs Custom UFM Keymod System handguard for AKM,"11,787"
120 pcs. 5.45x39 US gs ammo pack,"6,875"
PNV-10T Night Vision,"29,475"
Ana tactical Beta 2 battle backpack,"50,111"
Virtex programmable processor,"95,331"
Belomo PK-06 reflex sight,"16,261"
Springfield Armory M1A 7.62x51,"57,892"
Vortex DC 7.62x51 muzzlebrake & compensator for M14,"6,041"
B-10M foregrip and rail mount B-19,"15,729"
Peltor ComTac 2 headset,"24,580"
M700 MOD X Gen.3 stock,"17,041"
Maxim Defence CQB collapsing/telescoping MCX/MPX stock,"9,832"
5.56x45 mm M855A1,478
Hunter matches,"8,361"
WD-40 400ml,"14,753"
Primary Arms Compact prism scope 2.5x,"19,668"
"Izhmash 7.62x39 AK aluminium magazine for AK and compatibles, 10-round capacity",743
Muzzlebrake Keeno Arms SHREWD 7.62x51 for AR-10,"13,907"
7.62x54R T-46M,186
Standard 9x18PM 30-round magazine for PP-91,"4,920"
Raven figurine,"34,886"
PC CPU,"10,269"
Tango Down Stubby BGV-MK46K tactical grip FG,"3,642"
Can of Dr. Lupo's coffee beans,"53,145"
HK MP5 Kurz 9x19 submachinegun,"15,753"
HK extended quadrail handguard for 416-compatible systems,"12,702"
5 pcs. 12x70 DIPP ammo box,"4,922"
Health resort utility room key,"28,563"
SOK-12 aluminum handguard MTU002 Long Top,"12,806"
Monstrum Compact prism scope 2x32,"29,555"
30-round 7.62x39 magazine for AK-103 and compatible weapons,"2,265"
Lancer OEM 14 inch M-LOK foregrip for MPX,"15,503"
710 mm barrel for MP-153 12ga shotgun,"7,520"
10-round .308 AICS M700 magazine,"4,433"
Portable cabin key,"3,942"
UMTBS 6sh112 Scout-Sniper,"13,704"
MaxRounds Powermag 20-round 12/76 magazine for SOK-12 and compatible weapons,"42,514"
"5.45x39 mm 7N39 ""Igolnik""",985
"12.7x55 magazine for ASh-12, 10-round capacity","6,902"
Muzzlebrake Precision Armament M-11 7.62x51 for AR-10,"11,031"
Alexander Arms 10 inch guide,"2,879"
Shturman key,"275,144"
LSHZ-2DTM Cover,"2,219"
Aimpoint COMP M4 reflex sight,"19,726"
Scav Backpack,"14,796"
45-round 6L26 5.45x39 magazine for AK-74 and compatibles,"3,836"
West wing room 325 key,"64,031"
Triton M43-A Chest Harness,"20,722"
Standart Spacer for Aimpont sight,"2,759"
West wing room 218 key,"130,260"
Dual Dovetail Mount for PVS-14 monocular,"2,862"
Desert Tech pistol grip for MDR FDE,"3,859"
Sodium bicarbonate,"11,845"
DS Arms SA-58 7.62x51,"51,325"
30mm ring-mount AR- P.E.P.R. made by Burris,"10,264"
Magpul MOE AKM HAND GUARD (Black) for AK,"17,770"
Hogue OverMolded Rubber Grip FDE,"3,839"
Ox bleach,"9,381"
260mm barrel for AR-15 and compatible 5.56x45,"19,756"
Surefire SOCOM556-MINI MONSTER 5.56x45 Silencer,"39,436"
Weaver extended multi-slot base for Remington model 700,"3,800"
PP-9 Klin 9x18PMM SMG,"14,832"
Magpul M-LOK AFG (Olive Drab) Tactical grip,"9,223"
M1A Socom 16 stock,"15,822"
42nd Signature Blend English Tea,"20,574"
Bridge Sight Mount for P226,"4,176"
TT pistol 7.62x25 TT,"5,837"
Military gyrotachometer,"46,019"
ADAR 2-15 .223 Carbine,"22,761"
HK A1 4.6x30 Flashhider for MP7,"2,375"
Magpul Rubber Butt-Pad for Carbine stock series,"5,278"
PBS-4 5.45x39 Silencer,"21,182"
Promag Archangel polymer stock for M700,"22,545"
Broken GPhone,"16,829"
Plastic pistol grip for MP-133/153,"7,221"
4.6x30mm Subsonic SX,297
UNV DLOC-IRD Mount for sights,"7,251"
Purified water,"106,842"
Magpul PRS GEN3 stock,"18,705"
Noveske Gen.3 5.56x45 Upper receiver for AR systems,"27,706"
Hogue OverMolded Rubber Grip Ghillie Green,"3,962"
Medium length rail for Hexagon,"1,980"
Good Iron 7.62x51 muzzlebrake & compensator for M14,"10,499"
AKMSN 7.62x39 assault rifle,"20,805"
Golden rooster,"66,910"
SGA stock for M870,"9,906"
"SGMT Drum mag for Glock 9x19, 50 rounds capacity","10,313"
Dead Ringer Snake Eye Glock rear sight,"5,508"
Red Rebel Ice pick,"3,885,527"
MTU-028SG rail for M870,"2,380"
KAC long panel for URX 3/3.1 FDE,"3,175"
Vityaz 9x19 sound suppressing device,"12,237"
Desert Tech 5.56x45 FlashHider,"4,079"
SR1MP silencer mount,"3,470"
RB-MP11 key,"59,144"
Crye Precision Airframe Tan,"172,172"
"Midwest 13.5"" M-LOK foregrip for 416A5","16,659"
Highcom Striker ULACH IIIA tan helmet,"71,457"
Scav Vest,"4,251"
Daniel Defense Wave Muzzle Brake 5.56x45,"10,722"
Zev Tech sight mount cap,139
Module-3M bodyarmor (40/40),"37,633"
Lone Star TX-15 DML Rifle,"67,011"
Fab Defence AG-58 pistol grip for VZ-58,"7,149"
7-shell M870x7 12ga magazine,"2,324"
9x21 mm SP13,297
TSNIITochMash AS VAL stock,"3,179"
HK Polymer mag 30 5.56x45 STANAG 30-round magazine,"5,261"
Razor Arms TT rubber grips,"8,819"
"20"" barrel for AR-15 and compatible 5.56x45","42,499"
Weapon case,"911,250"
Magpul M-LOK AFG (Flat Dark Earth) Tactical grip,"8,285"
Thunder Beast 30CB Muzzle Brake 7.62x51,"8,451"
Empty Wallet,"7,842"
AAC Illusion 9 9x19mm silencer,"24,860"
Bulletec ST-6012 5.56x45 Flashhider for AR-15,"21,991"
"DLP ""Tactical Precision"" LAM Module for TT Pistol","5,868"
"SI ""Cobra tactical"" tactical grip","10,734"
Dorm room 110 Key,"26,861"
3 Lug threaded protector,"3,561"
6B13 assault armor (flora pattern) (47/47),"68,159"
Mosin carabine Rearsight,896
Fab Defence PR870 forestock,"3,200"
Double Star Ace Socom gen.4 stock for AR-15,"9,959"
Military COFDM wireless Signal Transmitter,"108,892"
Old firesteel,"39,846"
Vltor CASV keymod 4 inch guide,"7,857"
Dorm room 214 Key,"61,261"
Sight Mount Sig 220-239 rear sight bearing,"5,755"
AKMP system rear sight device,797
KMZ 1P69 3-10x riflescope,"14,944"
USP-1 scope eyecup,547
DEVTAC Ronin ballistic helmet,"139,530"
Object 21WS keycard,"168,435"
FN Butt pad for P90,"2,761"
Golden 1GPhone,"40,770"
Condensed milk,"18,347"
"""Big Stick"" 9x19 magazine for Glock 9x19","3,323"
Magpul PMAG .308 AC 10-round M700 magazine,"6,881"
SE-5 Express Grip,"14,852"
East wing room 222 key,"173,089"
KAC stopper panel for URX 3/3.1,"4,490"
Analgin painkillers,"3,994"
SAS drive,"24,969"
LZSh light helmet,"44,944"
KAC Folding micro sight Rear,"6,892"
Silicone tube,"13,988"
Gas station safe key,"38,853"
F-1 Hand grenade,"14,987"
"Annihilator 7.62x39, 5.56x45 and 9mm flash hider for AR-15","8,492"
Kiba Arms International SPRM mount for pump-action shotguns,"3,466"
Tetriz portable game,"138,884"
Key to IDEA cash register,"89,921"
Eotech EXPS3 holographic sight,"28,265"
Kochetov Mount for Mosin rifle,"1,419"
Gold skull ring,"40,978"
Leupold Mark 4 LR 6.5-20x50 riflescope,"37,647"
APB Rearsight,"39,978"
West wing room 323 key,"82,464"
Daniel Defence Wave QD Sound Suppressor,"52,981"
Mesa Tactical magazine clamp for M870,"4,892"
Adrenaline injector,"17,994"
Vltor MUR-1S 5.56x45 Upper receiver for AR systems,"30,986"
Muzzlebrake Odin Works Atlas-7 7.62x51 for AR-10,"11,442"
Strike industries TRAX 2,"7,813"
East wing room 313 key,"210,009"
AKS-74 5.45x39 assault rifle,"16,888"
4.6x30mm AP SX,950
7.62x51 mm M80,330
7.62x39 mm HP,65
5.45x39 mm US,36
9x18 mm PM PSO gzh,35
9x18 mm PM PPT gzh,44
9x18 mm PM PRS gs,59
20/70 7.3mm Buckshot,49
20/70 6.2mm Buckshot,30
12x70 7mm Buckshot,24
Standard MPX 20-round 9x19 magazine,"2,500"
"Metal magazine for VPO-215 and compatibles, .366 TKM 10-round capacity",0
TSNIITOCHMASH bakelite PB side grips,"20,000"
PM-Laser TT-206 side grips with LAM,"5,100"
Axelson Tacical MK.25 pistol grip for P226,"2,999"
Black polymer Sig Sauer pistol grip for P226,"5,000"
Emperor scorpion Sig Sauer pistol grip for P226,"3,444"
Polymer Izhmekh pistol grip for MP-443,"1,400"
P226 Sig Emperor scorpion pistol slide,"6,911"
SIG single latch charging handle for MPX,"51,000"
TJ Custom 9x19 Compensator,"13,000"
Izhmash 5.56x45 AK-101 muzzlebrake & compensator,"4,999"
Alpha Wolf Bullnose 9x19 Compensator,"3,199"
AGR-870 protection cap,300
MP5 Wide Tropical Polymer handguard,"1,800"
"10.6"" barrel for 416A5 and compatible 5.56x45","24,996"
540mm barrel for MR-133 12ga shotgun with rib,"8,765"
710mm barrel for MP-133 12ga shotgun,"5,999"
660mm barrel for MR-133 12ga shotgun,"5,000"
710mm barrel for MR-133 12ga shotgun with rib,"10,000"
660mm barrel for MP-133 12ga shotgun with rib,"9,888"
510mm barrel for MP-43e-1c 12ga,0
725mm barrel for MP-43e-1s 12ga,0
Dovetail mount for TOZ-106,"1,491"
Stock adapter Tactica Tula 12003 for MP-133/153,"2,697"
Alexander Arms 3 inch guide,"2,192"
Magpul inline mount for PRO 700 chassis,"2,910"
MC 20-01 stock,"7,069"
B&T MP9 Standard Rear-sight,"19,000"
Trijicon ACOG backup rear sight,"3,200"
SA National Match .062 blade Frontsight M1A,"2,000"
Izhmash Rearsight for RPK-16,"2,000"
AKMB system rear sight,500
Glock ZEV Tech Front sight,"10,000"
Christmas tree decoration ball (red),0
Christmas tree decoration ball (silver),0
Christmas tree decoration ball (violet),0
Armband (blue),600
Armband (green),"1,499"
Armband (white),700
Armband (yellow),560
120 pcs. 5.45x39 PP gs ammo pack,"15,000"
16 pcs. 9x18 PM Ppe gzh ammo box,500
16 pcs. 9x18 PM Pst gzh ammo box,600
16 pcs. 9x18 PM SP7 gzh ammo box,"9,999"
30 pcs. 5.45x39 7N39 ammo pack,"40,000"
30 pcs. 5.45x39 PP gs ammo pack,"3,000"
30 pcs. 5.45x39 PS gs ammo pack,"2,500"
8 pcs pack of 9x39 7N12 BP ammo,"10,000"
8 pcs pack of 9x39 7N9 SPP ammo,"1,000"
16 pcs. 9x19 Pst Gzh ammo box,"1,000"
5.56x45 M193 Ball ammo,"4,000"
Dollars,119
Euros,137
Dogtag case,"420,065"
KAC QDSS NT-4 FDE 5.56x45 silencer,"29,996"
Buffer Tube adapter for SA-58,"2,921"
KAC Folding sight Frontsight,"2,997"
Grenade case,"380,102"
Damage Industries Butt-pad for P90,"4,879"
HK PM Gen.2 5.56x45 STANAG 30-round magazine,"4,152"
KEKTAPE duct tape,"32,715"
EMOD Stock,"9,506"
Meprolight Tru Dot Night Sight rear sight for P226,"3,494"
East wing room 328 key,"99,567"
Lab. key. Testing area (weap.),"74,836"
Health resort management office safe key,"217,228"
"Meprolight ""Tru Dot Night Sight"" Frontsight for P226","2,903"
Weapon Tuning Mosin rifle tread adapter,"2,579"
Broken GPhone X,"31,045"
"22"" barrel for a M1A 7.62x51 NATO","26,480"
East wing room 310 key,"52,088"
Team Wendy EXFIL Ballistic Helmet Coyote,"87,145"
"URX 3.1 10.75"" handguard for AR15","21,597"
Deadlyslob's beard oil,"56,515"
5.45x39 mm BS,"1,001"
RB-RH key,"94,198"
Can of green peas,"11,527"
X-FAL FAL/SA-58 7.62x51 50 rnd magazine,"20,049"
East wing room 205 key,"139,069"
FN PS90 stock,"4,813"
Lab. key. Manager office,"259,612"
KAC Ambidextrous Charging Handle for AR-10,"2,492"
East wing room 216 key,"200,686"
West wing room 221 key,"139,530"
Analog thermometer,"56,174"
Izhmash metal stock for AKS-74U (6P26 Sb.5),"1,571"
West wing room 309 key,"50,769"
East wing room 209 key,"57,187"
Health resort warehouse safe key,"123,879"
34mm one piece magmount made by Nightforce,"10,236"
West wing room 219 key,"237,524"
Simonov Semi-Automatic Carbine SKS 7.62x39,"14,050"
DSA SPR stock for SA-58,"26,408"
Magpul PRO 700 chassis,"20,076"
FN EFFEN 90 Upper receiver for P90,"4,367"
610 mm barrel for MP-153 12ga shotgun,"10,040"
KMZ 1P69 Weaver mount,"4,707"
T H I C C Items case,"16,770,506"
ProMag AK-A-16 73-round 7.62x39 magazine for AKM and compatibles,"27,922"
AK-101 5.56x45 assault rifle,"39,182"
PNV-10T dovetail adapter,"5,923"
HK MP5 9x19 submachinegun (Navy 3 Round Burst),"23,409"
Ars Arma CPC MOD.2 plate carrier,"351,711"
Military base checkpoint key,"183,919"
CASV 14 mount for M14,"11,156"
Recoil pad from GP-25 for AK Accessory Kit,"4,323"
Hemostatic drug Zagustin,"19,005"
SV-98 bolt-action sniper rifle,"25,138"
6-STEN-140-M military battery,"249,385"
Keytool,"564,218"
Izhmash AKS-74UB Dust cover,"14,977"
"6.5"" 9x19 barrel for MPX","8,249"
ProMag SKS-A5 7.62x39 20-round SKS magazine,"6,036"
Physical bitcoin (btc),"145,897"
AAC Blackout 51T 5.56x45 flash-hider,"7,044"
"PMAG 30 AK/AKM GEN M3 7.62x39 magazine for AK and compatibles, 30-round capacity","5,814"
West wing room 303 key,"124,134"
Magazine case,"318,453"
Salewa FIRST AID KIT (400/400),"14,094"
Homespun 121mm 7.62x25 TT barrel with threading,"7,655"
Armacon Baskak stock,"3,022"
MS2000 Marker,"14,576"
FN Five-seveN MK2 5.7x28 pistol,"40,074"
Electric motor,"36,272"
Vulcan MG night scope 3.5x,"30,226"
660mm vent rib barrel for M870 12ga,"22,166"
"B-13V rail platform above reciever ""Classic""","10,075"
7.62x51 mm Ultra Nosler,388
Battered antique Book,"54,424"
Daniel Defence Wave Muzzle Brake 7.62x51,"10,582"
Threaded barrel for M9A3 9x19,"11,086"
AS VAL 9x39 integral barrel-suppressor,"24,191"
"VOMZ Pilad P1X42 ""WEAVER"" reflex sight","11,089"
Pmag GL9 polymer magazine,"1,891"
Key to Goshan cash register,"474,054"
Augmentin antibiotic pills,"17,036"
"Strike Industries CRUX 15"" M-LOK foregrip for 416A5","18,661"
Desert Tech foregrip for MDR,"11,097"
Izhmekh MP-153 Polymer stock,"14,124"
Military cable,"34,316"
Taktika Tula AK and AKM adapter,"2,019"
6B23-2 armor (mountain flora pattern) (55/55),"76,023"
Roler submariner gold wrist watch,"70,678"
Remington RAHG 4 inch guide,"1,817"
Bandana,"2,619"
AKademia Bastion dust cover for AK,"7,576"
Office 108 East wing key,"52,629"
Promag AA-70 10-round .308 M700 magazine,"6,061"
Hensoldt FF 4-16x56 scope,"65,668"
Car battery,"46,377"
East wing room 226 key,"148,465"
FireKlean gun lube,"27,289"
ATI Monte Carlo Mosin rifle stock,"16,883"
Nightforce ATACR 7-35x56 riflescope,"60,457"
Raptor charging handle for AR-15,"10,105"
9x39 mm SP-5,177
M9A3 9x19 17-round magazine,"2,124"
Handguard MK 10 for use with AR-15 and compatible,"16,588"
UBR GEN2 black stock,"13,960"
Smoked Chimney drain cleaner,"5,874"
Meds case,"303,357"
FN Five-seveN MK2 FDE Frame 5.7x28 pistol,"38,998"
Office 112 West wing key,"168,209"
Military circuit board,"29,894"
6B13 assault armor (digital flora pattern) (47/47),"69,419"
"Geissele ""SCH"" charging handle for MPX","2,432"
Gas analyzer,"15,712"
Can of delicious beef stew,"10,137"
Midwest 6.5 inch M-LOK foregrip for MPX,"4,562"
Lightweight upper 5.56x45 for TX15 rifle,"11,153"
TROY Claymore 5.56x45 muzzle brakefor AR-15,"6,578"
Orsis scope mount for T-5000M,"45,626"
Stechkin Automatic Pistol 9x18PM,"12,280"
Raptor grip for M870,"4,056"
Valday 1P87 holographic sight,"12,931"
REAP-IR scope eyecup,"58,840"
Damaged hard drive,"12,175"
B&T Rotex 2 4.6x30 silencer,"54,824"
Dorm room 203 Key,"2,234"
Aseptic bandage,"1,386"
RB-VO key,"63,979"
HK 416A5 5.56x45 Assault Rifle,"52,820"
GPNVG-18 Night Vision,"180,629"
Lantac Drakon 7.62x39 muzzlebrake & compensator for AK,"15,232"
DVD drive,"6,099"
West wing room 220 key,"376,128"
HK quadrail handguard with a flip-up sight for 416-compatible systems,"9,149"
Glock 9x19 magazine,"1,627"
Metal fuel tank,"1,017"
Deadly skull mask,"4,971"
750 mm barrel for MP-153 12ga shotgun,"7,731"
Rotor 43 7.62x39 muzzle brake,"28,488"
Fab Defence UAS Stock for SKS,"22,385"
Key to KIBA Outlet grate door,"106,870"
"7.62x39 ribbed metal magazine for AK and compatibles, 10-round capacity",397
JP Enterprises tactical compensator 7.62x51 muzzlebrake & compensator for M14,"10,182"
KAC Folding sight Rear,"4,172"
30-round 6L23 5.45x39 magazine for AK-74 and compatibles,"2,037"
Wilston cigarettes,"5,705"
IFAK personal tactical first aid kit (300/300),"13,245"
7.62x54R LPS Gzh,162
Tacfire Tanker style muzzlebrake for Mosin rifle,"5,804"
Aimpoint Micro Spacer High,"2,344"
Fake mustache,"14,269"
Marked key,"23,955"
7.62x51 mm M62,"1,313"
Hot Rod,"11,217"
TDI AKM-L handguard for AK Anodized Red,"17,334"
Weather station safe key,"55,067"
B&T MP9-N Vertical grip,"8,158"
Aramid fiber cloth,"7,956"
Strike Industries Viper carbine length M-LOK foregrip for AR-15,"10,203"
"""Fierce Hatchling"" moonshine","283,176"
Dorm guard desk key,"10,204"
B&T MP9-N 9x19 Submachinegun,"20,308"
Dorm room 114 Key,"10,717"
ProMag Archangel OPFOR PRS Mosin rifle stock,"27,467"
Tactica Tula TT01 Rearsight Weaver Adapter,"4,310"
40-round PMAG GEN M3 40 5.56x45 STANAG magazine,"7,657"
10-shell M870x10 12ga magazine,"3,165"
LMT Sopmod stock,"6,809"
HK Steel Maritime 5.56x45 STANAG 30-round magazine,"4,381"
Working LCD,"28,085"
FN side rail for regular P90 upper receiver,"2,043"
DSA BRS stock for SA-58,"9,193"
12.7x55 mm PS12B,567
Items case,"1,986,703"
FN P90 5.7x28 flash hider,"2,759"
MP-153 12ga semi-automatic shotgun,"25,550"
Handguard with a gas block combo by TROY Industries for AK,"20,439"
HK MP7A2 4.6x30 submachinegun,"51,111"
Water filter,"75,544"
Lab. key. Arsenal storage room,"76,616"
Hexagon 12K sound suppressor,"24,557"
5.7x28 mm SS197SR,132
Viking Tactical UVG Tactical grip,"6,821"
5.7x28 mm SS190,348
Combat stimulant injector SJ6 TGLabs,"66,532"
Wartech TV-110 plate carrier (85/85),"97,236"
Rotor 43 7.62x54 muzzle brake,"51,197"
Documents case,"128,021"
Kiver-M Helmet,"20,486"
SilencerCo Salvo 12 thread adapter,918
Ghost balaclava,"12,298"
Long flat screwdriver,"9,743"
Zarya stun grenade,"8,707"
APS bakelite side-pieces,"20,530"
SOK-12 aluminum handguard MTU002 Short Top,"8,214"
AT AICS polymer stock for M700,"29,333"
Phased array element,"133,551"
Eotech HHS-1 sight,"58,345"
"16.5"" barrel for 416A5 and compatible 5.56x45","35,979"
RTM Pillau Tactical grip,"3,598"
Key to OLI administrator office,"23,645"
Wooden Sig Sauer Elite pistol grip for P226,"4,728"
SI Advanced receiver extension buffer tube (anodized red),"103,757"
Key to utility room of OLI outlet,"34,039"
"Zenit PT-3 ""Klassika"" stock","21,598"
9x18 mm PM PS gs PPO,36
Velocity Systems Multi-Purpose Patrol Vest,"41,150"
Zenit RK-2 Foregrip,"30,665"
GLOCK 18C 9x19 pistol,"33,962"
SIG MPX Gen1 Handguard 4 inch rail adapter,"2,470"
Secure Flash drive,"57,654"
Regular stock for B&T MP9,"10,298"
AK-103 7.62x39 assault rifle,"27,811"
SMW car key,"10,198"
West wing room 216 key,"121,507"
Phantom 7.62x51 muzzlebrake & compensator for M14,"4,329"
SSh-68 helmet (1968 steel helmet),"14,435"
Troy S.A.S.S. Chassis stock for M14,"39,189"
20/70 Star Slug,164
406mm barrel for MDR and compatible 5.56x45,"27,539"
P226 Axelson tactical Mk.25 pistol slide,"14,439"
Bronze lion,"125,749"
Military power filter,"48,492"
GreenBat lithium battery,"19,604"
30-round SR3M.130 9x39 SR3M magazine,"30,974"
Heat-exchange alkali surface washer,"10,330"
40-round PMAG GEN M3 FDE 40 5.56x45 STANAG magazine,"7,748"
12x70 Led slug,31
Silencerco Hybrid 46 multi-caliber silencer,"72,335"
Valday PS-320 1x/6x Scope,"41,336"
"15"" barrel for RPK-16 and compatible 5.45x39","12,905"
Compact mount for sights,"1,263"
Leupold Mark 4 HAMR 4x24mm DeltaPoint hybrid assault scope,"52,829"
Remington Tactical Choke 12ga,"4,939"
Aimpoint LRP mount for COMP M4 sights.,"4,137"
Ultraviolet lamp,"8,482"
Lab. Green keycard,"1,008,903"
Key to store safe,"22,772"
Expeditionary fuel tank,"66,250"
RB-PS81 key,"1,645,924"
Troy M7A1 PDW stock,"5,940"
Small S I C C case,"1,522,239"
NIXXOR lens,"20,288"
Hogue OverMolded Rubber Grip Ghillie Earth,"3,731"
LAS/TAC 2 tactical flashlight,"14,513"
Knight's Armament KAC RIS handguard for AR-15 and compatibles,"7,052"
Horse figurine,"8,713"
M14 30 round 7.62x51 magazine,"9,219"
Key to OLI cash register,"93,363"
Key to utility room of power substation,"8,299"
Factory exit key,"145,324"
TGP-A 5.45x39 muzzle device/suppressor,"26,997"
VPX Flash Storage Module,"46,618"
ANA Tactical M1 armored rig (65/65),"92,439"
Tapco INTRAFUSE Stock for SKS,"9,350"
Muzzle brake Vendetta precision VP-09 5.56x45,"13,818"
KAC short panel for URX 3/3.1,"9,235"
Magpul MOE SL mid length M-LOK foregrip for AR15,"14,027"
A*B Arms MOD X mount for M700,"4,002"
3 Lug thread protector,"3,224"
Chain with Prokill medallion,"124,807"
Zenit-Belomo PSO 1M2 4x24 scope,"19,760"
12/70 AP-20 Slug,333
"7.62x54r ProMag OPFOR for Archangel Mosin rifle kit, 10-round capacity","14,571"
Kiba Arms Tactical Tomahawk,"8,852"
British FAL/L1A1 7.62x51 30 rnd magazine,"5,207"
TROY Battlemag 5.56x45 STANAG 30-round magazine,"6,253"
5.45x39 mm BP,271
LSHZ-2DTM face shield (50/50),"40,666"
A pack of nails,"25,978"
AKS-74N 5.45x39 assault rifle,"25,050"
Ops-Core Fast MT SUPER HIGH CUT Helmet,"133,263"
Crash Axe,"460,019"
Kinda cowboy hat,"23,002"
TWS Dog leg rail dust cover for AK,"15,893"
7.62x39 PS ammo package,"3,033"
Armasight universal base,"3,137"
"23"" barrel for a VPO-215 .366TKM","10,466"
Anti-fragmentation glasses,"7,850"
Standard MP7 30-round 4.6x30 magazine,"7,642"
Lab. Yellow keycard,"34,555"
AKS-74/AKS-74U PT Lock,"5,538"
Sig SRD 9 9x19mm sound suppressor,"29,328"
Wartech Berkut VV-102 backpack,"16,655"
ANA Tactical M2 armored rig (60/60),"94,319"
Polymer AK-74 foregrip (6P20 Sb.9),"1,572"
"18"" barrel for AR-15 and compatible 5.56x45","34,494"
5.7x28 mm SB193,279
Standard TT side grips,"1,364"
SVDS Rearsight,960
Pressure gauge,"70,836"
Wilcox Skull Lock head mount,"11,542"
750mm barrel for MP-133 12ga shotgun,"7,559"
"Aim Sports ""Tri-Rail"" rail for Mosin rifle","8,268"
1P59 scope eyecup,"1,049"
Witt Machine muzzlebrake for Mosin rifle,"15,149"
6-shell MP-133x6 12ga magazine,"1,680"
Alpha Dog Alpha 9 9x19 sound suppressor,"29,416"
SVDS 7.62x54 Sniper rifle,"61,880"
Weapon parts,"11,559"
West wing room 207 key,"57,702"
Ski hat with holes for eyes,"11,565"
Hexagon AKM 7.62x39 sound suppressor,"35,229"
Pliers Elite,"11,574"
Powerbank,"16,717"
Short length rail for Hexagon,"1,573"
Leatherman Multitool,"21,052"
Socom 16 7.62x51 muzzlebrake & compensator for M1A (threaded),"5,884"
Armasight NVG mask,"25,774"
T H I C C Weapon case,"5,791,328"
Lab. Black keycard,"230,565"
Rotor 43 RIS mount for PP Kedr,"3,897"
Bottle of vodka Tarkovskaya,"19,550"
B&T MP9 9x19 submachinegun,"34,778"
IOTV Gen4 armor (assault kit) (68/68),"199,127"
Dorm room 218 Key,"5,694"
Kalashnikov AKS-74U 5.45x39,"14,137"
Nippers,"8,546"
"10.5"" 9x19 barrel for MPX","13,835"
Car key,"1,052"
Screw nut,"14,072"
Shemagh,"7,918"
9x39 mm 7N12 BP,"1,795"
